peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,seed_used,peak_fake,peak_real,t_peak_fake,t_peak_real,cum_shares_fake,cum_shares_real,run_index,seed,json_path
727,2166,21,57,2939,6622,66.52,100.0,4036413393,727,2166,21,57,2939,6622,0,4036413393,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_00.json
568,2175,24,54,2479,6877,67.68,100.0,4036413394,568,2175,24,54,2479,6877,1,4036413394,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_01.json
547,2178,21,56,2204,7020,62.12,100.0,4036413395,547,2178,21,56,2204,7020,2,4036413395,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_02.json
521,2170,23,58,2171,6747,59.92,100.0,4036413396,521,2170,23,58,2171,6747,3,4036413396,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_03.json
284,2187,22,47,1604,6773,55.96,100.0,4036413397,284,2187,22,47,1604,6773,4,4036413397,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_04.json
617,2200,19,59,2331,6980,63.44,100.0,4036413398,617,2200,19,59,2331,6980,5,4036413398,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_05.json
495,2188,18,55,2019,7140,58.44,100.0,4036413399,495,2188,18,55,2019,7140,6,4036413399,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_06.json
381,2196,13,52,1736,7152,57.24,100.0,4036413400,381,2196,13,52,1736,7152,7,4036413400,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_07.json
560,2165,19,49,1792,7257,58.04,100.0,4036413401,560,2165,19,49,1792,7257,8,4036413401,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_08.json
549,2182,19,57,2355,6894,69.32,100.0,4036413402,549,2182,19,57,2355,6894,9,4036413402,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_09.json
621,2172,22,55,2748,6559,70.48,100.0,4036413403,621,2172,22,55,2748,6559,10,4036413403,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_10.json
429,2162,16,51,1727,7157,57.52,100.0,4036413404,429,2162,16,51,1727,7157,11,4036413404,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_11.json
615,2201,21,54,2327,6885,59.16,100.0,4036413405,615,2201,21,54,2327,6885,12,4036413405,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_12.json
510,2176,18,57,2119,7071,60.68,100.0,4036413406,510,2176,18,57,2119,7071,13,4036413406,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_13.json
520,2176,20,58,2151,6964,56.08,100.0,4036413407,520,2176,20,58,2151,6964,14,4036413407,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_14.json
524,2195,19,52,2047,6991,62.48,100.0,4036413408,524,2195,19,52,2047,6991,15,4036413408,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_15.json
630,2176,26,59,2706,6592,65.12,100.0,4036413409,630,2176,26,59,2706,6592,16,4036413409,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_16.json
617,2168,18,55,2611,6776,64.32,100.0,4036413410,617,2168,18,55,2611,6776,17,4036413410,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_17.json
818,2178,20,59,2587,6999,58.0,100.0,4036413411,818,2178,20,59,2587,6999,18,4036413411,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_18.json
683,2159,23,51,2992,6569,68.44,100.0,4036413412,683,2159,23,51,2992,6569,19,4036413412,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102233\CA_run_19.json
